leaid,ncessch,report_dis,report_race,report_sex,counselors_fte,psych_fte,law_fte
0400790,040079002212,0,0,1,1,1,0
0400790,040079003333,0,0,0,0,0,0
0400792,040079202970,0,0,0,0,0,0
0400793,040079302984,0,0,0,0,1,0
0400796,040079602645,0,0,0,0,0,0
0400797,040079702994,0,0,0,0,0,0
0400797,040079703230,0,0,0,0,0,0
0400798,040079803021,0,0,0,0,0,0
0400799,040079902943,0,0,0,0,0,0
0400800,040080003211,0,0,0,0,0,0
0400800,040080003288,0,0,0,0,0,0
0400800,040080003317,0,0,0,1,0,0
0400800,040080003368,0,0,0,0,0,0
0400801,040080102941,0,0,0,0,0,0
0400802,040080202962,0,0,0,1,0,0
0400803,040080302667,0,0,1,0,0,0
0400803,040080303416,0,0,0,0,0,0
0400805,040080503050,0,0,1,0,0,0
0400805,040080503444,0,0,0,0,0,0
0400807,040080702976,0,0,1,1,0,0
0400810,040081003026,0,0,0,1,0,0
0400811,040010301583,0,0,0,NA,NA,NA
0400811,040010302855,0,0,0,NA,NA,NA
0400811,040010302950,0,0,0,NA,NA,NA
0400811,040010301724,0,0,0,NA,NA,NA
0400811,040010302329,0,0,0,NA,NA,NA
0400811,040010302008,0,0,0,NA,NA,NA
0400811,040010302139,0,0,0,NA,NA,NA
0400814,040081402554,0,0,0,1,0,0
0400815,040081503023,0,0,1,0,0,0
0400816,040081602998,0,0,0,0,0,0
0400816,040081603219,0,0,0,0,0,0
0400817,040081703191,0,0,0,0,0,0
0400818,040081803197,0,0,0,1,0,0
0400819,040081903187,0,0,1,0,0,0
0400820,040082002672,0,0,0,1,0,0
0400821,040082103226,0,0,0,1,0,0
0400822,040082203221,0,0,0,0,0,0
0400823,040082303296,0,0,1,0,0,0
0400824,040082403178,0,0,0,0,0,0
0400826,040082603207,0,0,0,0,1,0
0400827,040082703252,0,0,0,1,1,0
0400827,040082703309,0,0,0,1,1,0
0400828,040082803199,0,0,0,0,0,0
0400829,040082903278,0,0,0,1,0,0
0400830,040083003253,0,0,1,1,0,0
0400831,040083103196,0,0,0,1,0,0
0400832,040083203290,0,0,0,0,0,1
0400833,040083303283,0,0,0,0,0,0
0400834,040083403244,0,0,0,0,0,0
0400838,040083803243,0,0,0,0,0,0
0400839,040083903273,0,0,0,0,0,0
0400840,040084000044,0,0,0,0,0,0
0400841,040084103259,0,0,0,0,0,0
0400842,040084203300,0,0,0,0,1,0
0400843,040084303351,0,1,1,1,0,0
0400844,040084403285,0,0,0,0,0,0
0400845,040084503242,0,0,0,0,0,0
0400846,040084603245,0,0,0,0,0,0
0400847,040084703301,0,0,0,0,1,0
0400848,040084803293,0,0,0,0,0,0
0400849,040084903266,1,1,0,0,0,0
0400850,040085003341,0,0,0,0,0,0
0400851,040085103271,0,0,0,0,0,0
0400852,040085203257,0,0,0,1,0,0
0400853,040085303297,0,0,0,0,0,0
0400854,040085403249,0,0,0,0,0,0
0400855,040085503275,0,0,0,0,1,0
0400857,040085703260,0,0,0,1,0,1
0400858,040085803286,0,0,0,1,0,0
0400859,040085903251,0,0,0,1,0,1
0400861,040086103344,0,0,0,1,0,0
0400862,040086201783,1,1,1,0,0,0
0400863,040086303355,0,0,0,1,0,0
0400864,040086403315,0,0,0,1,0,0
